Company,Benchmark_Score,BERT_Predicted,Error,Abs_Error
Netflix,37,71.8,34.8,34.8
Meta,60,78.28,18.28,18.28
Eli Lilly,64,68.93,4.930000000000007,4.930000000000007
McDonald's,66,69.65,3.6500000000000057,3.6500000000000057
Disney,68,69.36,1.3599999999999994,1.3599999999999994
Nike,70,79.7,9.700000000000003,9.700000000000003
Apple,70,70.92,0.9200000000000017,0.9200000000000017
FedEx,71,76.51,5.510000000000005,5.510000000000005
Tesla,72,75.89,3.8900000000000006,3.8900000000000006
NVIDIA,77,76.63,-0.37000000000000455,0.37000000000000455
Boeing,79,77.28,-1.7199999999999989,1.7199999999999989
JPMorgan Chase,80,77.64,-2.3599999999999994,2.3599999999999994
Google,81,80.75,-0.25,0.25
Johnson & Johnson,85,81.42,-3.5799999999999983,3.5799999999999983
Microsoft,87,83.8,-3.200000000000003,3.200000000000003
