Company,ESG_Score,Environment,Social,Governance,Emissions,Resource Use,Innovation,Human Rights,Product Responsibility,Workforce,Community,Management,Shareholders,CSR Strategy
Apple,40,60,26,34,84,84,13,16,22,49,19,27,47,28
Boeing,42,43,43,41,58,64,9,23,27,71,53,41,43,40
Disney,37,36,40,36,46,54,8,31,31,63,35,41,48,21
Elililly,41,36,40,48,46,50,12,20,38,61,44,44,57,45
Fedex,34,38,27,39,63,48,4,12,8,53,35,45,40,34
Google,38,54,25,36,79,76,9,4,15,43,38,34,42,34
Johnsonandjohnson,22,15,25,27,30,17,0,11,31,40,18,31,32,18
Jpmorganchase,44,46,39,48,61,58,21,22,20,75,42,52,49,43
Mcdonald,29,29,34,25,39,49,0,26,7,59,46,35,25,17
Meta,34,40,32,31,58,54,8,26,27,49,27,33,39,22
Microsoft,40,54,29,39,69,74,20,11,19,40,47,38,35,45
Netflix,37,48,24,40,80,53,12,11,16,45,27,64,37,20
Nike,42,46,43,38,67,65,8,33,30,65,44,36,46,33
Nvidia,37,38,33,40,44,66,4,30,16,70,17,47,34,41
Tesla,26,24,26,28,16,48,8,29,19,45,11,38,34,12
