Company,Benchmark_Score,LLM_Chunked_Predicted,Error,Abs_Error,Original_Length,Chunked_Length,Retention_Rate
Apple,70,15,-55,55,497886,30044,6.034313075683992
Boeing,79,15,-64,64,479246,30030,6.2660929877349005
Eli Lilly,64,15,-49,49,484242,30051,6.205781406817253
FedEx,71,15,-56,56,426483,30139,7.066870191777867
Johnson & Johnson,85,15,-70,70,143975,30214,20.985587775655496
JPMorgan Chase,80,15,-65,65,524826,30052,5.726088265444166
McDonald's,66,15,-51,51,266680,30034,11.262186890655467
Meta,60,15,-45,45,419101,30044,7.168677717304421
Microsoft,87,15,-72,72,440562,30124,6.837630117894871
Netflix,37,15,-22,22,229485,30038,13.089308669411945
Tesla,72,15,-57,57,229432,30120,13.128072805885841
Google,81,15,-66,66,490631,30065,6.1278231501882265
