Company,Benchmark_Score,LLM_Conservative_Predicted,Error,Abs_Error,Original_Length,Chunked_Length,Retention_Rate
Nike,70,15,-55,55,659448,19965,3.027532117771227
Apple,70,15,-55,55,497886,19903,3.9975014360717114
Boeing,79,15,-64,64,479246,19903,4.152981975853737
Disney,68,15,-53,53,350160,19903,5.683973040895591
Eli Lilly,64,33,-31,31,484242,19991,4.12830774695297
FedEx,71,33,-38,38,426483,19903,4.666774525596566
Johnson & Johnson,85,15,-70,70,143975,19990,13.884354922729642
JPMorgan Chase,80,15,-65,65,524826,19903,3.792304497109518
McDonald's,66,15,-51,51,266680,19903,7.46325183740813
Meta,60,15,-45,45,419101,19903,4.748974590850415
Microsoft,87,15,-72,72,440562,19903,4.5176388340347104
Netflix,37,15,-22,22,229485,19903,8.67289801076323
NVIDIA,77,0,-77,77,310194,19903,6.416307214194987
Tesla,72,15,-57,57,229432,20062,8.744203075421039
Google,81,15,-66,66,490631,19903,4.0566128108497015
