Company,Benchmark_Score,Old_RAG_Score,Improved_RAG_Score,Old_RAG_Error,Improved_RAG_Error,Error_Improvement,Has_Improved_Score
Nike,70,85,67.0,15,3.0,12.0,True
Apple,70,85,73.0,15,3.0,12.0,True
Boeing,79,85,,6,,,False
Disney,68,85,65.0,17,3.0,14.0,True
Eli Lilly,64,85,85.0,21,21.0,0.0,True
FedEx,71,85,,14,,,False
Johnson & Johnson,85,85,87.0,0,2.0,-2.0,True
JPMorgan Chase,80,85,60.0,5,20.0,-15.0,True
McDonald's,66,85,,19,,,False
Meta,60,85,1.0,25,59.0,-34.0,True
Microsoft,87,85,85.0,2,2.0,0.0,True
Netflix,37,85,70.0,48,33.0,15.0,True
NVIDIA,77,85,75.0,8,2.0,6.0,True
Tesla,72,85,,13,,,False
Google,81,85,1.0,4,80.0,-76.0,True
