Strategy,K_Value,Company,RAG_Score,Benchmark_Score,Classification,Absolute_Error,Num_Retrieved_Docs,Success
top_k_5,5,Nike,85,70,,15,5,True
top_k_5,5,Apple,85,70,,15,5,True
top_k_5,5,Disney,85,68,,17,5,True
top_k_5,5,Eli Lilly,85,64,,21,5,True
top_k_5,5,FedEx,82,71,,11,5,True
top_k_5,5,Johnson & Johnson,85,85,,0,5,True
top_k_5,5,JPMorgan Chase,85,80,,5,5,True
top_k_5,5,McDonald's,75,66,,9,5,True
top_k_5,5,Meta,85,60,,25,5,True
top_k_5,5,Microsoft,85,87,,2,5,True
top_k_5,5,Netflix,75,37,,38,5,True
top_k_5,5,NVIDIA,85,77,,8,5,True
top_k_5,5,Tesla,85,72,,13,5,True
top_k_5,5,Google,85,81,,4,5,True
top_k_10,10,Nike,85,70,,15,10,True
top_k_10,10,Apple,85,70,,15,10,True
top_k_10,10,Disney,85,68,,17,10,True
top_k_10,10,Eli Lilly,85,64,,21,10,True
top_k_10,10,FedEx,85,71,,14,10,True
top_k_10,10,Johnson & Johnson,85,85,,0,10,True
top_k_10,10,JPMorgan Chase,85,80,,5,10,True
top_k_10,10,McDonald's,75,66,,9,10,True
top_k_10,10,Meta,85,60,,25,10,True
top_k_10,10,Microsoft,85,87,,2,10,True
top_k_10,10,Netflix,75,37,,38,10,True
top_k_10,10,NVIDIA,82,77,,5,10,True
top_k_10,10,Tesla,85,72,,13,10,True
top_k_10,10,Google,85,81,,4,10,True
top_k_15,15,Nike,85,70,,15,15,True
top_k_15,15,Apple,85,70,,15,15,True
top_k_15,15,Disney,85,68,,17,15,True
top_k_15,15,Eli Lilly,85,64,,21,15,True
top_k_15,15,FedEx,82,71,,11,15,True
top_k_15,15,Johnson & Johnson,85,85,,0,15,True
top_k_15,15,JPMorgan Chase,85,80,,5,15,True
top_k_15,15,McDonald's,75,66,,9,15,True
top_k_15,15,Meta,85,60,,25,15,True
top_k_15,15,Microsoft,85,87,,2,15,True
top_k_15,15,Netflix,78,37,,41,15,True
top_k_15,15,NVIDIA,85,77,,8,15,True
top_k_15,15,Tesla,85,72,,13,15,True
top_k_15,15,Google,85,81,,4,15,True
top_k_20,20,Nike,85,70,,15,20,True
top_k_20,20,Apple,85,70,,15,20,True
top_k_20,20,Disney,85,68,,17,20,True
top_k_20,20,Eli Lilly,85,64,,21,20,True
top_k_20,20,FedEx,82,71,,11,20,True
top_k_20,20,Johnson & Johnson,85,85,,0,20,True
top_k_20,20,JPMorgan Chase,85,80,,5,20,True
top_k_20,20,McDonald's,75,66,,9,20,True
top_k_20,20,Meta,85,60,,25,20,True
top_k_20,20,Microsoft,85,87,,2,20,True
top_k_20,20,Netflix,82,37,,45,20,True
top_k_20,20,NVIDIA,85,77,,8,20,True
top_k_20,20,Tesla,85,72,,13,20,True
top_k_20,20,Google,85,81,,4,20,True
